Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Jan-00,165,174.4,165,174.4,173.1336705,112119,518,19411574,,,9.4,9.4
04-Jan-00,179.5,187,170.25,174,175.7025851,330118,1394,58002586,,,16.75,-5.5
05-Jan-00,165.5,173,162,168.5,168.0613873,149249,815,25082994,,,11,3
06-Jan-00,169.9,170.8,166,167.5,168.0799084,70268,494,11810639,,,4.8,-2.4
07-Jan-00,165,169.9,162.5,169.5,166.1051599,183026,970,30401563,,,7.4,4.5
10-Jan-00,173,178.9,165.1,166.95,168.9265113,100723,457,17014785,,,13.8,-6.05
11-Jan-00,167.5,167.5,157,161.5,160.0685656,96477,477,15442935,,,10.5,-6
12-Jan-00,161.5,166.2,161,164.5,163.1527335,65539,446,10692867,,,5.2,3
13-Jan-00,164.9,166.9,164.05,165,164.6798354,88189,433,14522950,,,2.85,0.1
14-Jan-00,165,166,162.75,165,163.6787062,76581,462,12534679,,,3.25,0
17-Jan-00,172,178.15,170,178.15,177.3901146,163170,571,28944745,,,8.15,6.15
18-Jan-00,184,184,166,172.1,170.9735248,417334,1715,71353065,,,18,-11.9
19-Jan-00,171,185.85,170.1,183.05,182.0576928,637757,2295,116108568,,,15.75,12.05
20-Jan-00,185,185.85,175.1,179,178.706895,251746,1265,44988746,,,10.75,-6
21-Jan-00,177,193.3,172,193.3,181.9799037,469689,2028,85473959,,,21.3,16.3
24-Jan-00,195,207,193.2,201.45,200.2741328,556121,3170,111376651,,,13.8,6.45
25-Jan-00,202.5,217.55,198.05,217.55,211.5419794,382640,1836,80944423,,,19.5,15.05
27-Jan-00,229.9,234.9,221.05,229.95,229.9544636,729834,3078,167828586,,,13.85,0.05
27-Jan-00,234.9,234.9,234.9,234.9,234.9,275000,1,64597500,,,0,0
28-Jan-00,228,230.5,223,228,227.4488328,551613,2185,125463733,,,7.5,0
31-Jan-00,229,246.2,229,235.15,242.0882838,962453,2910,232998595,,,17.2,6.15
01-Feb-00,240,246,235,239.55,238.5992176,324877,2112,77515398,,,11,-0.45
02-Feb-00,240,248,240,242,244.7991633,401092,2179,98186986,,,8,2
03-Feb-00,247,247,224,225.55,232.8572988,258260,1379,60137726,,,23,-21.45
04-Feb-00,227,234,216.3,230.5,223.5547317,384512,2205,85959477,,,17.7,3.5
07-Feb-00,233.95,248.9,231.2,245,242.9072841,416768,2021,101235983,,,17.7,11.05
08-Feb-00,245,253,245,251,248.1409553,249377,1713,61880647,,,8,6
09-Feb-00,252,260,248,251,251.3086583,279257,1585,70179702,,,12,-1
10-Feb-00,249.9,262,249.9,251,253.7051624,286690,1360,72734733,,,12.1,1.1
11-Feb-00,256,257,230.95,230.95,236.6217886,451943,2252,106939561,,,26.05,-25.05
14-Feb-00,231,237.5,226.15,234,232.2819902,238870,1585,55485199,,,11.35,3
15-Feb-00,232.5,235.5,229.5,231,231.6665642,84547,643,19586713,,,6,-1.5
16-Feb-00,231,249.45,231,249.45,247.4136086,379702,1456,93943442,,,18.45,18.45
17-Feb-00,258,258,249.1,250,252.470843,384213,2224,97002580,,,8.9,-8
18-Feb-00,251,251,240.5,246,245.8382437,182132,1236,44775011,,,10.5,-5
21-Feb-00,250,252,236.65,239.5,243.0379199,117669,872,28598029,,,15.35,-10.5
22-Feb-00,237,240,220.5,222,226.9227224,166659,1162,37818714,,,19.5,-15
23-Feb-00,224,230,217.1,222.45,224.3914341,109551,679,24582306,,,12.9,-1.55
24-Feb-00,220,229,218,228,223.1426624,85075,576,18983862,,,11,8
25-Feb-00,229,234.4,220,226.1,228.0941749,203154,1408,46338244,,,14.4,-2.9
28-Feb-00,227.75,232,221,228,226.0853889,105201,733,23784409,,,11,0.25
29-Feb-00,230,241.75,217,217.6,232.2113521,328504,1947,76282358,,,24.75,-12.4
01-Mar-00,222,234.95,222,234.95,231.0423432,90168,410,20832626,,,12.95,12.95
02-Mar-00,244,253.7,244,253.7,252.0742943,65577,272,16530276,,,9.7,9.7
03-Mar-00,273.95,273.95,273.95,273.95,272.7033563,92333,442,25179519,,,0,0
