Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Jan-00,240,252.35,240,252.35,249.7068885,5731815,10459,1431273689,,,12.35,12.35
04-Jan-00,255.1,272.5,251,272.5,265.1500118,11491300,18817,3046918331,,,21.5,17.4
04-Jan-00,242.5,268.9,242.5,268.9,255.7,1600,2,409120,,,26.4,26.4
05-Jan-00,290.75,290.75,272,272,272.2078515,104642,3,28484374,,,18.75,-18.75
05-Jan-00,272,286.8,253.7,285.5,272.7343096,19501032,31545,5318600499,,,33.1,13.5
06-Jan-00,287.9,299.5,287.9,292.95,294.3002575,11969528,21293,3522635173,,,11.6,5.05
07-Jan-00,293.6,316.35,292.2,313.5,307.6973891,15282948,24265,4702523197,,,24.15,19.9
10-Jan-00,318,325,307,307.25,314.010663,10577702,20598,3321511218,,,18,-10.75
11-Jan-00,309,312,282.7,288.55,297.0979288,10047006,17157,2984944673,,,29.3,-20.45
12-Jan-00,290,304,282,303.8,293.2002224,7299547,15758,2140228804,,,22,13.8
12-Jan-00,289.4,291,289.4,291,289.5238095,1050,3,304000,,,1.6,1.6
13-Jan-00,304.5,315.8,303.75,308.5,310.7134815,11374733,24188,3534282891,,,12.05,4
14-Jan-00,310,320.5,309,315.9,315.2174823,12638267,20915,3983802704,,,11.5,5.9
17-Jan-00,318,327,308.9,309,317.8498326,6237246,15704,1982507597,,,18.1,-9
18-Jan-00,309.5,322,308,320,315.1276317,9552799,17868,3010350925,,,14,10.5
19-Jan-00,321,323.85,315.65,317,319.9333198,7978953,17357,2552732922,,,8.2,-4
20-Jan-00,318,324.5,309,310.95,317.7950052,9849381,24007,3130084086,,,15.5,-7.05
21-Jan-00,312,326.5,312,325.9,319.9291161,12712072,25005,4066961959,,,14.5,13.9
24-Jan-00,328.25,333.9,325.5,328.15,330.0026834,9245683,20177,3051100200,,,8.4,-0.1
25-Jan-00,328,328,320.5,323.55,323.8439235,6857944,15052,2220903492,,,7.5,-4.45
27-Jan-00,322.05,335.1,322,333,330.3766304,11499301,19987,3799100316,,,13.1,10.95
28-Jan-00,333.5,339.5,330.65,335.75,336.3997147,9096793,16377,3060158570,,,8.85,2.25
31-Jan-00,328,337.5,328,329,333.2958008,7301830,14232,2433669277,,,9.5,1
01-Feb-00,328.65,339.45,328.45,339.25,336.2070876,8462497,14624,2845151470,,,11,10.6
02-Feb-00,339.8,346,337,337.8,341.4916859,8383324,15294,2862835446,,,9,-2
03-Feb-00,337,342.75,334.5,341.3,339.170692,5940988,11633,2015009011,,,8.25,4.3
04-Feb-00,342.5,345.85,338,338.25,343.2625016,8910935,15073,3058789840,,,7.85,-4.25
07-Feb-00,340,351.85,340,344,346.8344239,8547410,17116,2964536023,,,11.85,4
07-Feb-00,347.15,347.15,347.15,347.15,347.15,2000,1,694300,,,0,0
08-Feb-00,345.1,348.5,343,344.4,345.8746771,4123390,8101,1426176185,,,5.5,-0.7
09-Feb-00,345.7,352.5,343.25,345.5,348.4425742,7993767,15111,2785368751,,,9.25,-0.2
10-Feb-00,346,364.45,344.2,364.25,354.2390098,8800576,15075,3117507328,,,20.25,18.25
11-Feb-00,364.9,380,356,357.5,365.0038555,8932391,17848,3260357154,,,24,-7.4
14-Feb-00,352,363.8,352,352.5,357.804992,3931137,10428,1406580443,,,11.8,0.5
14-Feb-00,360,360,360,360,360,500,1,180000,,,0,0
15-Feb-00,352,357,347.5,348.1,352.4181916,5133566,11046,1809162046,,,9.5,-3.9
16-Feb-00,349,352.5,342.05,345,347.4105349,4563064,9455,1585256505,,,10.45,-4
17-Feb-00,346,355.5,344,353.5,352.4892559,5922034,13635,2087453358,,,11.5,7.5
18-Feb-00,352.1,356.95,348.1,350,352.846359,5370891,10089,1895099334,,,8.85,-2.1
21-Feb-00,350,354,346.1,347.45,349.9513102,2999003,7343,1049505029,,,7.9,-2.55
22-Feb-00,346,349.5,338.25,341,342.7776297,4143233,8612,1420207587,,,11.25,-5
23-Feb-00,340,343.7,324,329,334.1895992,3516455,7421,1175162687,,,19.7,-11
24-Feb-00,330.9,339.75,329.25,335.4,334.385236,4192549,10319,1401926487,,,10.5,4.5
25-Feb-00,331.1,340.5,320,322.1,332.0197374,5542056,11634,1840071978,,,20.5,-9
28-Feb-00,329.8,339.8,319,338.5,329.6999107,5785784,11823,1907572468,,,20.8,8.7
29-Feb-00,340,344.75,311.45,311.45,332.2761399,10270555,18332,3412660370,,,33.3,-28.55
01-Mar-00,305,322.5,298,317.55,312.8294507,8349420,16666,2611944472,,,24.5,12.55
02-Mar-00,318,320.9,292.15,292.15,303.7797853,9208742,16915,2797429668,,,28.75,-25.85
03-Mar-00,285,288,268.8,269.1,272.6568545,7097235,12837,1935109771,,,19.2,-15.9
06-Mar-00,280,287.8,248.5,260.9,268.6474413,7876889,16005,2116106075,,,39.3,-19.1
07-Mar-00,257.05,263,242.75,246.95,250.6633201,7168259,13428,1796819600,,,20.25,-10.1
08-Mar-00,242,249,230,234.6,238.9497081,5426086,11120,1296561666,,,19,-7.4
09-Mar-00,235.2,241.35,224,229,232.2961388,4162423,10433,966914791,,,17.35,-6.2
10-Mar-00,232,234,215,219.75,223.2899484,7328112,13739,1636293750,,,19,-12.25
13-Mar-00,225,231,202.2,203.5,217.4890272,7784079,15595,1692951769,,,28.8,-21.5
14-Mar-00,205.9,219.75,199,219.7,214.3089889,8137113,14753,1743856460,,,20.75,13.8
15-Mar-00,220,237.25,220,237.25,233.107432,7086025,12479,1651805091,,,17.25,17.25
16-Mar-00,239,247.4,230,233.5,238.3123714,7685996,17968,1831667933,,,17.4,-5.5
21-Mar-00,237,241.5,228.05,240.5,235.4383241,4532758,11581,1067184947,,,13.45,3.5
22-Mar-00,241.75,247.9,240.4,241.25,244.0533631,3837519,9903,936559418,,,7.5,-0.5
23-Mar-00,240.4,245.5,238.25,239.65,241.0476124,2913842,7948,702374657,,,7.25,-0.75
24-Mar-00,240,242.5,239,240.5,240.1992262,2292951,5131,550765056,,,3.5,0.5
27-Mar-00,249.9,259.7,246,259.7,256.1949073,3435983,8229,880281346,,,13.7,9.8
28-Mar-00,265.9,280.45,264,280.45,272.789826,6550155,14774,1786815643,,,16.45,14.55
29-Mar-00,285,288,268.5,269.7,277.39243,7292475,18399,2022877361,,,19.5,-15.3
30-Mar-00,268.5,291.25,258.5,291.25,277.2103269,9824135,20724,2723351675,,,32.75,22.75
30-Mar-00,280,290.9,270,290.9,280.3,600,3,168180,,,20.9,10.9
31-Mar-00,269,269,269,269,269,2675,3,719575,,,0,0
31-Mar-00,291.25,314.5,285.3,314.5,303.4036873,11125474,20198,3375509835,,,29.2,23.25
03-Apr-00,320.75,334.25,318.6,325.9,325.9697633,14944193,32071,4871355055,,,15.65,5.15
